ITEM_ID,ITEM_NAME,VALUE,URL,DESCRIPTION,GROUP_NAME,SINGULAR
1,Furniture for the public library,36000,temp.png,"providing the library with new chairs, tables and computer stations",Culture & community,1
2,Little (book exchange) libraries,13000,temp.png,installing 13 little free libraries across town.,Culture & community,0
3,Computers for the community learning center,27000,temp.png,"funding 20 laptops including mice and keyboards, giving students a place to study.",Culture & community,1
4,Interactive Technology for the Main Library,60000,temp.png,"This project will fund an iPad lending kiosk and 16 iPads, as well as a permanent interactive screen in the Children’s Room of the Main Library.",Culture & community,1
5,Digital Sign at City Hall in Multiple Languages,75000,temp.png,Digital sign that will scroll announcements in multiple languages and welcome people to town.,Culture & community,1
6,Enhancements to the Central Square Library,72500,temp.png,"Update the Central Square library and expand the variety of items for loan. Proposed enhancements are new furniture, a laptop kiosk, and fun, non-traditional items for loan. These improvements would benefit the neighborhood and community.",Culture & community,1
7,Laundry Access in Public Schools,50000,temp.png,"Renovate a space in a Cambridge Public School and install washers and dryers for students who do not have easy access to laundry services at home, to use for their clothing and necessities.",Culture & community,1
8,Meeting Room Upgrade for libraries,250000,temp.png,Upgrades will allow for the latest in technology be available for public use in the meeting room.,Culture & community,1
9,Educational Kitchen Space,50000,temp.png,"A kitchen renovation, including installation of new cabinetry, sink, stove/hot plate, and kitchen equipment.",Culture & community,1
10,Accessible Entrance for the Library,250000,temp.png,"Add automatic sliding doors, fix driveway and, if needed, remove steps to benefit seniors and people with disabilities.",Culture & community,1
11,Bike repair stations,12000,temp.png,"install 8 bike repair stations with tools and bike pumps across the city for cyclists to quickly, easily, and freely fix routine bike problems.","Streets, Sidewalks & Transit",0
12,Separate Bike Lanes from Traffic,50000,temp.png,"Improve safety for drivers and bikers by moving bike lanes to be between street parking spots and the sidewalk, reducing car-bike interactions and potential collisions.","Streets, Sidewalks & Transit",1
13,Real-Time Bus Arrival Monitors in bus stations,24000,temp.png,"Real-time bus arrival monitors bus stops will inform travelers when the next bus will arrive, so they can adjust their plans if needed.","Streets, Sidewalks & Transit",1
14,Benches for a Walkable City,25000,temp.png,"Install 12 benches across town so that people of all ages and abilities can enjoy benches for resting, talking, tinkering with electronic devices, people watching, and being outdoors.","Streets, Sidewalks & Transit",0
15,Urban Bicycle Wash Stations,20000,temp.png,"Bicycle owners need to clean and care for their bikes, ideally monthly. But for apartment dwellers, this is really hard! These centrally located bicycle wash stations would allow bicycle owners to wash off dirt, grime, and salt from their bikes.","Streets, Sidewalks & Transit",1
16,Sheltered Bike Parking at the Main Library,90000,temp.png,"The Main Library needs more bicycle parking. A glass pavilion, protecting bikes from the weather, landscaped with paths and trees, will be an attractive and functional addition to the library grounds.","Streets, Sidewalks & Transit",1
